Название,Цена (руб),Бесплатная,Оценка Metacritic,Достижения,Положительные отзывы,Отрицательные отзывы,Среднее время игры (ч),Steam рейтинг
Battlefield V,4999,Нет,71,21,177107,72809,33.6,71%
NARAKA: BLADEPOINT,0,Да,70,40,225754,98703,144.18,70%
Battlefield 2042,5999,Нет,47,34,139118,157785,43.87,47%
Wallpaper Engine,499,Нет,98,17,874518,17517,78.55,98%
EA SPORTS FIFA 23,0,Нет,57,39,86187,65246,169.55,57%
Garry's Mod,599,Нет,97,29,1120309,37094,181.48,97%
DayZ,2399,Нет,77,13,329312,99771,247.73,77%
Hunt: Showdown 1896,2999,Нет,81,36,180930,66985,124.97,73%
Risk of Rain 2,2499,Нет,85,121,292375,20402,58.92,93%
Half-Life 2,975,Нет,96,69,239076,5890,16.67,98%
Palworld,2899,Нет,94,44,357884,22416,56.68,94%
Halo Infinite,0,Да,70,144,123294,53644,23.07,70%
Ricochet,499,Нет,83,0,4987,1040,0.27,83%
Dying Light,899,Нет,87,78,435115,21908,33.13,95%
Heroes & Generals,0,Нет,68,0,96511,46274,20.97,68%
Hollow Knight,1479,Нет,87,63,402738,12280,32.37,97%
Ring of Elysium,0,Нет,74,0,74361,25503,16.1,74%
Counter-Strike: Source,975,Нет,88,147,175292,6793,134.65,96%
Trove,0,Да,80,19,74107,18263,55.6,80%
Z1 Battle Royale,0,Да,70,0,113740,90302,63.87,56%
ARK: Survival Evolved,1479,Нет,70,32,611391,117932,206.75,84%
Mount & Blade II: Bannerlord,4999,Нет,77,50,232061,31995,133.05,88%
Sons Of The Forest,2899,Нет,88,32,222128,31016,25.28,88%
7 Days to Die,4399,Нет,89,43,327564,42073,97.83,89%
Unturned,0,Да,91,83,506358,48789,168.03,91%
Black Squad,0,Да,76,36,62056,19673,51.6,76%
Project Zomboid,1306,Нет,94,0,353179,21765,73.7,94%
Grim Dawn,374,Нет,83,185,93353,6234,62.43,94%
Destiny 2,0,Да,83,23,497741,127562,144.27,80%
Fall Guys: Ultimate Knockout,0,Нет,80,34,385243,88610,22.6,81%
Counter-Strike,819,Нет,88,0,243624,6416,149.57,97%
Rocket League,0,Нет,86,88,509456,73706,307.0,87%
Grand Theft Auto IV: Complete Edition,0,Нет,90,55,144225,30665,0.0,82%
Lost Ark,0,Да,71,156,143488,58486,73.67,71%
New World: Aeternum,5999,Нет,69,133,196772,90045,167.15,69%
Baldur's Gate 3,5999,Нет,96,54,734161,23885,118.0,97%
Satisfactory,3899,Нет,91,44,224967,6576,109.68,97%
Lethal Company,975,Нет,97,0,472817,13676,22.77,97%
Brawlhalla,0,Да,81,65,314616,71507,50.6,81%
Portal 2,195,Нет,95,51,427037,5659,14.88,99%
Raft,1999,Нет,93,104,322553,23085,25.53,93%
The Witcher 3: Wild Hunt,2999,Нет,93,78,801387,32320,55.07,96%
Cities: Skylines,2799,Нет,85,127,256061,19389,65.65,93%
VRChat,0,Да,76,0,181258,58537,79.22,76%
Phasmophobia,1950,Нет,96,54,735629,32095,36.67,96%
Sid Meier’s Civilization VI,5999,Нет,88,320,303662,45845,97.88,87%
Robocraft,0,Нет,73,43,86250,31821,22.42,73%
Warframe,0,Да,69,193,544679,80444,198.73,87%
鬼谷八荒 Tale of Immortal,1679,Нет,53,169,120950,106091,72.78,53%
The Forest,1679,Нет,83,45,599148,27955,27.77,96%
Paladins,0,Да,83,58,294407,52052,55.3,85%
The Binding of Isaac: Rebirth,1499,Нет,97,640,333383,9223,206.07,97%
Apex Legends,0,Да,88,12,667257,326608,159.12,67%
Rust,3999,Нет,69,92,1069335,156307,400.28,87%
Cyberpunk 2077,5999,Нет,86,57,710843,131853,83.77,84%
Left 4 Dead 2,97,Нет,89,101,937459,23697,40.78,98%
Path of Exile,0,Да,86,127,209688,25270,187.73,89%
Stardew Valley,1399,Нет,89,49,869602,13780,73.23,98%
Street Warriors Online,199,Нет,58,43,941,693,1.08,58%
Terraria,975,Нет,83,115,1371935,35412,122.73,97%
The Tiny Bang Story,499,Нет,63,0,5624,821,4.87,87%
Counter-Strike: Global Offensive,0,Да,87,1,7633590,1170502,522.9,87%
Half-Life 2: Lost Coast,0,Нет,89,0,12220,1471,0.0,89%
ELDEN RING,5999,Нет,94,42,979143,74965,124.87,93%
Among Us,269,Нет,85,33,643330,57072,23.02,92%
Sekiro: Shadows Die Twice - GOTY Edition,5999,Нет,88,34,306175,15119,40.6,95%
Sid Meier's Civilization V,2999,Нет,90,286,195620,8522,111.23,96%
The Sims 4,0,Да,87,0,148541,21582,27.6,87%
Monster Hunter: World,2999,Нет,88,100,433811,59114,139.42,88%
Team Fortress 2,0,Да,92,520,1042553,117510,142.3,90%
NBA 2K20,0,Нет,74,50,30263,30416,166.7,50%
Half-Life 2: Deathmatch,0,Нет,91,0,12949,1327,8.07,91%
World of Tanks Blitz,0,Да,79,0,116316,31708,92.73,79%
Call of Duty: Modern Warfare II,0,Нет,59,107,418276,293689,84.2,59%
Dead by Daylight,1999,Нет,79,276,628479,166799,167.35,79%
Life is Strange 2,0,Да,86,46,31389,5002,8.03,86%
SMITE,0,Да,83,319,94358,25426,91.4,79%
PAYDAY 2,999,Нет,79,1328,594265,68755,177.13,90%
No Man's Sky,2359,Нет,61,27,292362,59488,49.48,83%
Valheim,1999,Нет,94,0,470847,28306,83.22,94%
Red Dead Redemption 2,1499,Нет,93,51,672522,56667,71.38,92%
Castle Crashers,1199,Нет,96,12,120641,4854,10.8,96%
Serena,0,Да,77,0,4958,1485,1.3,77%
Dota 2,0,Да,90,0,2035835,461247,743.25,82%
PUBG: BATTLEGROUNDS,0,Да,59,37,1518071,1036369,375.3,59%
Tom Clancy's Rainbow Six Siege,799,Нет,84,0,1171548,225232,261.78,84%
Euro Truck Simulator 2,1999,Нет,79,101,843146,22887,122.77,97%
Black Myth: Wukong,5999,Нет,97,81,1110825,38325,54.22,97%
Human Fall Flat,1999,Нет,70,139,202148,11377,13.02,95%
Last Epoch,3399,Нет,80,0,87845,22567,85.67,80%
Fallout 4,1999,Нет,84,84,325717,66203,99.2,83%
Don't Starve Together,1499,Нет,83,0,474822,23607,42.55,95%
HELLDIVERS 2,3999,Нет,77,38,766663,232830,66.88,77%
World of Warships,0,Да,81,43,112857,33549,56.93,77%
Half-Life,819,Нет,96,0,142860,5124,13.8,97%
Hogwarts Legacy,5999,Нет,83,45,289259,31295,37.22,90%
Arma 3,2799,Нет,74,123,255873,27123,197.28,90%
Grand Theft Auto V Legacy,0,Нет,96,77,1738403,250522,223.35,87%
War Thunder,0,Да,81,88,482456,272090,136.87,64%
Geometry Dash,499,Нет,93,120,397013,28476,96.27,93%
