appid,name,release_date,price,is_free,developers,publishers,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,windows,mac,linux,achievements,recommendations,metacritic_score
1455981,Ambient Channels: Terror Forest - Hell House,"13 Aug, 2021",82.0,0,Simulated Entertainment,Simulated Entertainment,Casual;Simulation,0,0,0,0,"0 .. 20,000",1,0,0,0,0,0
1455982,Ambient Channels: Lost Metro - City Subway,Coming soon,0,0,Simulated Entertainment,Simulated Entertainment,Casual;Simulation,0,0,0,0,"0 .. 20,000",1,0,0,0,0,0
1456000,Goodbye Dr. Sanchez,"20 Jun, 2023",200.0,0,Cinnamon Matcha,Cinnamon Matcha,Action;Adventure;Casual,5,5,0,0,"0 .. 20,000",1,0,0,60,0,0
1456020,Lovely Warriors,"5 Jan, 2021",21.0,0,IR Studio,IR Studio,Casual;Indie,0,0,0,0,"0 .. 20,000",1,0,0,40,0,0
1456030,Shop Tycoon Soundtrack,"25 Aug, 2021",82.0,0,Airem,Airem,,0,0,0,0,"0 .. 20,000",1,1,1,0,0,0
1456040,Retribution: Universal Requiem,Coming soon,0,1,Awoo Games,Awoo Games,Action;Free To Play;Massively Multiplayer;Strategy,0,0,0,0,"0 .. 20,000",1,0,0,0,0,0
1456060,Strip Black Jack - Santa Babe,"13 Nov, 2020",59.99,0,CritoGames,CritoGames,Casual;Indie,0,0,0,0,"0 .. 20,000",1,0,0,20,0,0
1456080,Abyss Delvers,2025,0,0,addeponkeN,addeponkeN,Action;Adventure;Indie;Massively Multiplayer;RPG,0,0,0,0,"0 .. 20,000",1,0,1,0,0,0
1456110,Steam Digital Tabletop Fest: Wingspan with designer Elizabeth Hargrave,"22 Oct, 2020",0,1,,,,0,0,0,0,"0 .. 20,000",1,0,0,0,0,0
1456111,Steam Digital Tabletop Fest: Plague Inc: Evolved with designer James Vaughan,"22 Oct, 2020",0,1,,,,0,0,0,0,"0 .. 20,000",1,0,0,0,0,0
